"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"836","Crystals of Time","371,000","380,000","9,000","2.43%","$1.99","50% ($0.99)","50% (N/A)"
"837","Pixel Puzzles: Japan","336,000","380,000","44,000","13.1%","$6.99","85% ($1.04)","77% (N/A)"
"838","Need for Speed Undercover","354,000","380,000","26,000","7.34%","$9.99","75% ($2.49)","67% (65%)"
"839","Hero Quest: Tower Conflict","351,000","380,000","29,000","8.26%","$0.99","51% ($0.49)","26% (N/A)"
"840","The Room","319,000","380,000","61,000","19.12%","$4.99","75% ($1.24)","97% (73%)"
"841","Make it indie!","342,000","380,000","38,000","11.11%","$0.99","51% ($0.49)","49% (N/A)"
"842","FINAL FANTASY IX","344,000","379,000","35,000","10.17%","$20.99","40% ($12.59)","92% (84%)"
"843","Samorost 2","324,000","379,000","55,000","16.98%","$4.99","70% ($1.49)","82% (N/A)"
"844","Street Warriors Online","368,000","377,000","9,000","2.45%","$1.99","0% ($1.99)","59% (N/A)"
"845","Dead Island Definitive Edition","304,000","377,000","73,000","24.01%","$19.99","75% ($4.99)","71% (N/A)"
"846","Fallen Enchantress: Legendary Heroes","308,000","375,000","67,000","21.75%","$24.99","60% ($9.99)","78% (80%)"
"847","Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad","362,000","375,000","13,000","3.59%","$0.99","30% ($0.69)","95% (N/A)"
"848","RADical ROACH Remastered","364,000","374,000","10,000","2.75%","$2.99","75% ($0.74)","60% (N/A)"
"849","The Incredible Adventures of Van Helsing: Final Cut","297,000","374,000","77,000","25.93%","$44.99","75% ($11.24)","68% (79%)"
"850","Shadow Warrior Classic Redux","324,000","374,000","50,000","15.43%","$9.99","75% ($2.49)","92% (N/A)"
"851","Momodora: Reverie Under The Moonlight","354,000","373,000","19,000","5.37%","$9.99","80% ($2)","95% (82%)"
"852","Construction Simulator 2015","356,000","371,000","15,000","4.21%","$14.99","60% ($5.99)","71% (N/A)"
"853","Wolfenstein 3D","298,000","371,000","73,000","24.5%","$4.99","75% ($1.24)","94% (N/A)"
"854","Legacy of Kain: Soul Reaver","344,000","371,000","27,000","7.85%","$6.99","86% ($0.97)","73% (N/A)"
"855","SAMOLIOTIK","239,000","371,000","132,000","55.23%","$0.99","45% ($0.54)","91% (N/A)"
"856","ibb & obb","349,000","370,000","21,000","6.02%","$11.99","70% ($3.59)","94% (83%)"
"857","Human Resource Machine","291,000","370,000","79,000","27.15%","$9.99","50% ($4.99)","94% (78%)"
"858","Aquaria","347,000","369,000","22,000","6.34%","$9.99","75% ($2.49)","91% (82%)"
"859","Battlestations: Midway","311,000","368,000","57,000","18.33%","$6.99","86% ($0.97)","73% (76%)"
"860","POSTAL","337,000","368,000","31,000","9.2%","$1.99","75% ($0.49)","84% (56%)"
"861","Tom Clancy's Splinter Cell Chaos Theory","352,000","367,000","15,000","4.26%","$9.99","66% ($3.39)","92% (92%)"
"862","Unforgiving Trials: The Darkest Crusade","272,000","367,000","95,000","34.93%","$0.99","51% ($0.49)","N/A (N/A)"
"863","R.A.W. Realms of Ancient War","307,000","367,000","60,000","19.54%","$14.99","85% ($2.24)","49% (N/A)"
"864","LUFTRAUSERS","359,000","366,000","7,000","1.95%","$9.99","75% ($2.49)","92% (80%)"
"865","Unforgiving Trials: The Space Crusade","295,000","366,000","71,000","24.07%","$0.99","51% ($0.49)","N/A (N/A)"
"866","Sakura Angels","236,000","366,000","130,000","55.08%","$9.99","70% ($2.99)","86% (N/A)"
"867","Tower Wars","337,000","366,000","29,000","8.61%","$7.99","0% ($7.99)","72% (59%)"
"868","Super Space Pug","267,000","365,000","98,000","36.7%","$0.99","51% ($0.49)","52% (N/A)"
"869","DRAGON BALL FighterZ","227,000","363,000","136,000","59.91%","$59.99","60% ($23.99)","82% (85%)"
"870","LEGO Jurassic World","268,000","363,000","95,000","35.45%","$19.99","75% ($4.99)","83% (72%)"
"871","The Dark Eye: Chains of Satinav","295,000","363,000","68,000","23.05%","$19.99","90% ($1.99)","86% (75%)"
"872","Long Live The Queen","226,000","362,000","136,000","60.18%","$9.99","60% ($3.99)","95% (67%)"
"873","Resident Evil 0 / biohazard 0 HD REMASTER","334,000","362,000","28,000","8.38%","$19.99","60% ($7.99)","87% (N/A)"
"874","A New Beginning - Final Cut","342,000","362,000","20,000","5.85%","$9.99","90% ($0.99)","74% (72%)"
"875","Halo: Spartan Assault","354,000","361,000","7,000","1.98%","$2.99","60% ($1.19)","80% (70%)"
"876","Chaos Domain","356,000","361,000","5,000","1.4%","$9.99","90% ($0.99)","18% (N/A)"
"877","Bit Blaster XL","319,000","360,000","41,000","12.85%","$0.99","51% ($0.49)","97% (N/A)"
"878","Crawl","288,000","360,000","72,000","25%","$14.99","50% ($7.49)","96% (N/A)"
"879","Transport Fever","267,000","359,000","92,000","34.46%","$34.99","60% ($13.99)","76% (71%)"
"880","Intrusion 2","352,000","359,000","7,000","1.99%","$9.99","80% ($1.99)","90% (80%)"
"881","Minecraft: Story Mode - A Telltale Games Series","293,000","358,000","65,000","22.18%","$24.99","70% ($7.49)","75% (N/A)"
"882","Anomaly 2","246,000","358,000","112,000","45.53%","$14.99","85% ($2.24)","78% (77%)"
"883","Caster","354,000","358,000","4,000","1.13%","$1.99","0% ($1.99)","79% (N/A)"
"884","IL-2 Sturmovik: 1946","321,000","358,000","37,000","11.53%","$9.99","75% ($2.49)","88% (86%)"
"885","Realms of the Haunting","327,000","357,000","30,000","9.17%","$2.99","70% ($0.89)","92% (N/A)"
"886","Data Hacker: Reboot","270,000","357,000","87,000","32.22%","$4.99","90% ($0.49)","57% (N/A)"
"887","Legend of Grimrock 2","308,000","356,000","48,000","15.58%","$23.99","60% ($9.59)","91% (N/A)"
"888","VA-11 Hall-A: Cyberpunk Bartender Action","279,000","356,000","77,000","27.6%","$14.99","34% ($9.89)","97% (77%)"
"889","Batman - The Telltale Series","310,000","355,000","45,000","14.52%","$14.99","60% ($9.99)","75% (N/A)"
"890","State of Decay: YOSE","323,000","354,000","31,000","9.6%","$29.99","75% ($7.49)","75% (N/A)"
"891","Project Starship","292,000","354,000","62,000","21.23%","$0.99","51% ($0.49)","85% (N/A)"
"892","Mercenary Kings: Reloaded Edition","351,000","353,000","2,000","0.57%","$19.99","50% ($9.99)","74% (76%)"
"893","Bacteria","226,000","353,000","127,000","56.19%","$0.99","51% ($0.49)","50% (N/A)"
"894","Turbo Dismount","340,000","353,000","13,000","3.82%","$9.99","70% ($2.99)","91% (N/A)"
"895","RUNNING WITH RIFLES","258,000","353,000","95,000","36.82%","$14.99","70% ($4.49)","88% (78%)"
"896","Sleeping Valley","290,000","352,000","62,000","21.38%","$10.99","87% ($0.64)","36% (N/A)"
"897","Minimalism","179,000","351,000","172,000","96.09%","$0.99","51% ($0.49)","68% (N/A)"
"898","LEGO Harry Potter: Years 5-7","235,000","351,000","116,000","49.36%","$19.99","75% ($4.99)","86% (80%)"
"899","The LEGO Movie - Videogame","345,000","350,000","5,000","1.45%","$19.99","75% ($4.99)","80% (N/A)"
"900","Vessel","341,000","350,000","9,000","2.64%","$19.99","75% ($4.99)","87% (81%)"
"901","Command & Conquer 4: Tiberian Twilight","338,000","350,000","12,000","3.55%","$19.99","75% ($4.99)","17% (64%)"
"902","Sherlock Holmes: The Devil's Daughter","274,000","350,000","76,000","27.74%","$49.99","75% ($12.49)","74% (65%)"
"903","Energy Balance","277,000","348,000","71,000","25.63%","$2.99","70% ($0.89)","70% (N/A)"
"904","Timberman","335,000","347,000","12,000","3.58%","$0.99","51% ($0.49)","93% (N/A)"
"905","BATTALION 1944","314,000","347,000","33,000","10.51%","$14.99","0% ($14.99)","51% (N/A)"
"906","Lone Leader","248,000","346,000","98,000","39.52%","$0.99","51% ($0.49)","20% (N/A)"
"907","Kingdom Rush","340,000","344,000","4,000","1.18%","$9.99","50% ($4.99)","96% (N/A)"
"908","SteamWorld Heist","280,000","344,000","64,000","22.86%","$14.99","67% ($4.94)","96% (81%)"
"909","Planetbase","282,000","343,000","61,000","21.63%","$19.99","30% ($13.99)","76% (70%)"
"910","CONSORTIUM","334,000","343,000","9,000","2.69%","$9.99","50% ($4.99)","76% (N/A)"
"911","Grand Pigeon's Duty","205,000","342,000","137,000","66.83%","$3.99","80% ($0.79)","80% (N/A)"
"912","Screencheat","289,000","342,000","53,000","18.34%","$14.99","66% ($5.09)","91% (71%)"
"913","Genital Jousting","267,000","342,000","75,000","28.09%","$6.99","69% ($2.16)","91% (68%)"
"914","Final Quest","292,000","341,000","49,000","16.78%","$0.99","51% ($0.49)","50% (N/A)"
"915","RWBY: Grimm Eclipse","263,000","341,000","78,000","29.66%","$19.99","75% ($4.99)","83% (N/A)"
"916","Sacred 3","315,000","341,000","26,000","8.25%","$14.99","75% ($3.74)","22% (57%)"
"917","LEGO STAR WARS: The Force Awakens","233,000","338,000","105,000","45.06%","$29.99","75% ($7.49)","77% (N/A)"
"918","Papo & Yo","298,000","338,000","40,000","13.42%","$14.99","50% ($7.49)","95% (70%)"
"919","Guardians of Victoria","248,000","338,000","90,000","36.29%","$1.99","75% ($0.49)","23% (N/A)"
"920","Oil Rush","336,000","338,000","2,000","0.6%","$7.99","0% ($7.99)","57% (67%)"
"921","Spikit","286,000","338,000","52,000","18.18%","$0.99","51% ($0.49)","86% (N/A)"
"922","Proteus","263,000","337,000","74,000","28.14%","$9.99","50% ($4.99)","79% (80%)"
"923","Aragami","287,000","336,000","49,000","17.07%","$19.99","60% ($7.99)","89% (71%)"
"924","Hacker Evolution: Untold","272,000","335,000","63,000","23.16%","$4.99","80% ($0.99)","58% (N/A)"
"925","Escape This","320,000","335,000","15,000","4.69%","$0.99","37% ($0.62)","54% (N/A)"
"926","Domina","228,000","335,000","107,000","46.93%","$9.99","69% ($3.09)","87% (73%)"
"927","What Remains of Edith Finch","230,000","334,000","104,000","45.22%","$19.99","50% ($9.99)","95% (89%)"
"928","$1 Ride","316,000","334,000","18,000","5.7%","$0.98","50% ($0.49)","57% (N/A)"
"929","Battlefleet Gothic: Armada","277,000","333,000","56,000","20.22%","$29.99","75% ($7.49)","68% (77%)"
"930","There's Poop In My Soup","284,000","333,000","49,000","17.25%","$0.99","51% ($0.49)","88% (N/A)"
"931","Material Girl","265,000","333,000","68,000","25.66%","$1.99","70% ($0.59)","91% (N/A)"
"932","FlatOut: Ultimate Carnage","331,000","333,000","2,000","0.6%","$19.99","80% ($3.99)","82% (79%)"
"933","Deep Space Dash","302,000","332,000","30,000","9.93%","$0.99","51% ($0.49)","30% (N/A)"
"934","King Arthur's Gold","328,000","332,000","4,000","1.22%","$9.99","75% ($2.49)","82% (81%)"
"935","Oddworld: New 'n' Tasty","316,000","332,000","16,000","5.06%","$19.99","75% ($4.99)","88% (87%)"
"936","LIGHTNING RETURNS: FINAL FANTASY XIII","321,000","331,000","10,000","3.12%","$19.99","50% ($9.99)","79% (N/A)"
"937","Grey Goo","326,000","331,000","5,000","1.53%","$29.99","75% ($7.49)","69% (77%)"
"938","Sniper Ghost Warrior 3","226,000","331,000","105,000","46.46%","$19.99","55% ($12.79)","52% (N/A)"
"939","South Park: The Fractured But Whole","276,000","330,000","54,000","19.57%","$59.99","75% ($14.99)","69% (N/A)"
"940","Ionball 2: Ionstorm","315,000","330,000","15,000","4.76%","$4.99","90% ($0.49)","77% (70%)"
"941","Gish","314,000","329,000","15,000","4.78%","$9.99","0% ($9.99)","71% (80%)"
"942","The Turing Test","285,000","328,000","43,000","15.09%","$19.99","80% ($3.99)","86% (74%)"
"943","For The King","248,000","328,000","80,000","32.26%","$19.99","50% ($9.99)","83% (79%)"
"944","A grande bagunça espacial - The big space mess","285,000","327,000","42,000","14.74%","$0.99","51% ($0.49)","86% (N/A)"
"945","My Summer Car","317,000","327,000","10,000","3.15%","$14.99","0% ($14.99)","90% (N/A)"
"946","Infested Planet","255,000","327,000","72,000","28.24%","$14.99","75% ($3.74)","94% (75%)"
"947","The Guild II - Pirates of the European Seas","262,000","326,000","64,000","24.43%","$9.99","75% ($2.49)","69% (63%)"
"948","QUAKE Mission Pack 1: Scourge of Armagon","72,000","326,000","254,000","352.78%","$2.99","40% ($1.79)","93% (N/A)"
"949","Mother Russia Bleeds","220,000","325,000","105,000","47.73%","$14.99","75% ($3.74)","86% (70%)"
"950","From the Depths","224,000","325,000","101,000","45.09%","$14.99","80% ($3.99)","88% (N/A)"
"951","TIS-100","285,000","325,000","40,000","14.04%","$6.99","75% ($1.74)","97% (N/A)"
"952","Dream Daddy: A Dad Dating Simulator","285,000","324,000","39,000","13.68%","$14.99","50% ($7.49)","88% (72%)"
"953","BitRay","234,000","324,000","90,000","38.46%","$0.99","51% ($0.49)","67% (N/A)"
"954","Overhell","296,000","323,000","27,000","9.12%","$1.99","75% ($0.49)","66% (N/A)"
"955","Detention","231,000","323,000","92,000","39.83%","$11.99","60% ($4.79)","96% (83%)"
"956","The Banner Saga 2","241,000","323,000","82,000","34.02%","$24.99","66% ($6.79)","91% (82%)"
"957","Turbo Pug 3D","306,000","323,000","17,000","5.56%","$1.99","50% ($0.99)","72% (N/A)"
"958","Dragon Cliff","81,000","322,000","241,000","297.53%","$9.99","40% ($5.99)","85% (N/A)"
"959","DEEP SPACE WAIFU","246,000","321,000","75,000","30.49%","$1.99","40% ($1.19)","96% (N/A)"
"960","Hydrophobia: Prophecy","315,000","321,000","6,000","1.9%","$4.99","0% ($4.99)","60% (64%)"
"961","Alien Breed 3: Descent","311,000","321,000","10,000","3.22%","$9.99","85% ($1.49)","75% (64%)"
"962","LISA","293,000","319,000","26,000","8.87%","$9.99","50% ($4.99)","95% (78%)"
"963","Bridge Constructor Portal","112,000","319,000","207,000","184.82%","$9.99","50% ($4.99)","89% (77%)"
"964","Arma Tactics","214,000","319,000","105,000","49.07%","$8.99","80% ($1.79)","33% (47%)"
"965","Germ Wars","287,000","319,000","32,000","11.15%","$0.99","51% ($0.49)","55% (N/A)"
"966","Hostile Waters: Antaeus Rising","227,000","319,000","92,000","40.53%","$2.99","70% ($0.89)","97% (80%)"
"967","Zeno Clash 2","306,000","318,000","12,000","3.92%","$14.99","80% ($2.99)","80% (N/A)"
"968","Gods Will Be Watching","302,000","318,000","16,000","5.3%","$9.99","75% ($2.49)","72% (64%)"
"969","Battlestations Pacific","294,000","317,000","23,000","7.82%","$8.99","89% ($0.98)","64% (74%)"
"970","gravilon","312,000","316,000","4,000","1.28%","$2.99","0% ($2.99)","58% (N/A)"
"971","Unknown Battle","299,000","315,000","16,000","5.35%","$3.99","87% ($0.51)","13% (N/A)"
"972","It's Spring Again","255,000","315,000","60,000","23.53%","$0.99","51% ($0.49)","95% (N/A)"
"973","Medieval Engineers","295,000","315,000","20,000","6.78%","$19.99","60% ($7.99)","69% (N/A)"
"974","Sword Art Online: Fatal Bullet","142,000","315,000","173,000","121.83%","$49.99","60% ($19.99)","74% (61%)"
"975","DYNASTY WARRIORS 8: Xtreme Legends Complete Edition / 真・三國無双７ with 猛将伝","284,000","315,000","31,000","10.92%","$49.99","70% ($14.99)","80% (71%)"
"976","Under Zero","290,000","315,000","25,000","8.62%","$3.99","87% ($0.51)","34% (N/A)"
"977","Melissa K. and the Heart of Gold Collector's Edition","245,000","314,000","69,000","28.16%","$9.99","90% ($0.99)","65% (N/A)"
"978","Hyper color ball","284,000","314,000","30,000","10.56%","$0.99","51% ($0.49)","41% (N/A)"
"979","Ampu-Tea","252,000","314,000","62,000","24.6%","$4.99","85% ($0.74)","68% (N/A)"
"980","NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution","303,000","314,000","11,000","3.63%","$29.99","75% ($7.49)","80% (61%)"
"981","QUAKE II Mission Pack: The Reckoning","57,000","314,000","257,000","450.88%","$2.99","40% ($1.79)","83% (N/A)"
"982","Nation Red","296,000","313,000","17,000","5.74%","$1.99","66% ($0.67)","88% (N/A)"
"983","Command & Conquer 3: Kane's Wrath","300,000","313,000","13,000","4.33%","$19.99","75% ($4.99)","93% (77%)"
"984","FEMINAZI: The Triggering","242,000","313,000","71,000","29.34%","$0.99","51% ($0.49)","83% (N/A)"
"985","Interstellar Marines","238,000","313,000","75,000","31.51%","$9.99","50% ($4.99)","62% (N/A)"
"986","LARA CROFT AND THE TEMPLE OF OSIRIS","283,000","313,000","30,000","10.6%","$19.99","85% ($2.99)","59% (73%)"
"987","Streets of Rogue","255,000","313,000","58,000","22.75%","$14.99","40% ($8.99)","95% (N/A)"
"988","The 39 Steps","301,000","312,000","11,000","3.65%","$14.99","90% ($1.49)","81% (N/A)"
"989","The Jackbox Party Pack 3","254,000","312,000","58,000","22.83%","$24.99","50% ($12.49)","94% (N/A)"
"990","Penny Arcade's On the Rain-Slick Precipice of Darkness 3","254,000","312,000","58,000","22.83%","$1.99","70% ($0.59)","88% (N/A)"
"991","A Bird Story","303,000","312,000","9,000","2.97%","$3.99","75% ($0.99)","84% (66%)"
"992","Warriors of Vilvatikta","302,000","312,000","10,000","3.31%","$0.99","51% ($0.49)","51% (N/A)"
"993","Legacy of Kain: Soul Reaver 2","303,000","311,000","8,000","2.64%","$6.99","86% ($0.97)","74% (77%)"
"994","The Testament of Sherlock Holmes","291,000","311,000","20,000","6.87%","$19.99","75% ($4.99)","83% (73%)"
"995","Forts","258,000","311,000","53,000","20.54%","$14.99","40% ($8.99)","80% (74%)"
"996","EeOneGuy Adventure","270,000","310,000","40,000","14.81%","$0.99","51% ($0.49)","38% (N/A)"
"997","Just Hero","240,000","310,000","70,000","29.17%","$0.99","51% ($0.49)","65% (N/A)"
"998","Commando Jack","255,000","310,000","55,000","21.57%","$7.99","75% ($1.99)","61% (N/A)"
"999","Flix and Chill","190,000","309,000","119,000","62.63%","$0.99","51% ($0.49)","82% (N/A)"
"1000","Tooth and Tail","149,000","309,000","160,000","107.38%","$19.99","75% ($4.99)","82% (80%)"
"1001","PAC-MAN Championship Edition DX+","283,000","309,000","26,000","9.19%","$9.99","75% ($3.74)","96% (N/A)"
"1002","Millennium - A New Hope","214,000","309,000","95,000","44.39%","$5.99","90% ($0.59)","68% (N/A)"
"1003","Betrayer","153,000","308,000","155,000","101.31%","$4.99","80% ($0.99)","82% (N/A)"
"1004","Space Pilgrim Episode I: Alpha Centauri","263,000","308,000","45,000","17.11%","$1.99","75% ($0.49)","87% (N/A)"
"1005","SkyTime","233,000","307,000","74,000","31.76%","$0.99","51% ($0.49)","48% (N/A)"
"1006","Sheltered","238,000","306,000","68,000","28.57%","$14.99","75% ($3.74)","78% (62%)"
"1007","Epistory - Typing Chronicles","291,000","306,000","15,000","5.15%","$14.99","67% ($4.94)","95% (74%)"
"1008","Alpha Prime","300,000","306,000","6,000","2%","$4.99","80% ($0.99)","61% (59%)"
"1009","A Hat in Time","164,000","306,000","142,000","86.59%","$29.99","42% ($17.39)","98% (79%)"
"1010","Legacy of Kain: Defiance","261,000","305,000","44,000","16.86%","$6.99","86% ($0.97)","87% (70%)"
"1011","Energy Cycle","256,000","304,000","48,000","18.75%","$2.99","65% ($1.04)","80% (N/A)"
"1012","Bloons TD 5","262,000","304,000","42,000","16.03%","$9.99","50% ($4.99)","91% (N/A)"
"1013","Broken Sword: Director's Cut","295,000","304,000","9,000","3.05%","$5.99","60% ($2.39)","92% (N/A)"
"1014","Wurm Unlimited","229,000","304,000","75,000","32.75%","$29.99","70% ($8.99)","70% (N/A)"
"1015","Jazzpunk: Director's Cut","295,000","303,000","8,000","2.71%","$14.99","80% ($2.99)","91% (75%)"
"1016","Divinity: Dragon Commander","219,000","303,000","84,000","38.36%","$39.99","90% ($3.99)","73% (N/A)"
"1017","Devil Daggers","288,000","302,000","14,000","4.86%","$4.99","60% ($1.99)","96% (83%)"
"1018","STAR WARS - X-Wing Alliance","271,000","302,000","31,000","11.44%","$9.99","65% ($3.49)","77% (N/A)"
"1019","Red Lake","284,000","302,000","18,000","6.34%","$0.99","51% ($0.49)","44% (N/A)"
"1020","SpellForce 2: Faith in Destiny","238,000","301,000","63,000","26.47%","$14.99","80% ($2.99)","60% (55%)"
"1021","Labyronia RPG 2","271,000","300,000","29,000","10.7%","$1.99","83% ($0.49)","73% (N/A)"
"1022","Project Highrise","277,000","300,000","23,000","8.3%","$19.99","75% ($4.99)","81% (73%)"
"1023","Kentucky Route Zero","295,000","300,000","5,000","1.69%","$24.99","70% ($7.49)","84% (81%)"
"1024","Rise of the Ancients","246,000","300,000","54,000","21.95%","$0.99","51% ($0.49)","37% (N/A)"
"1025","Tales of Symphonia","276,000","299,000","23,000","8.33%","$19.99","75% ($4.99)","81% (N/A)"
"1026","Sparkle 2 Evo","287,000","299,000","12,000","4.18%","$4.99","90% ($0.49)","72% (N/A)"
"1027","Mordheim: City of the Damned","214,000","299,000","85,000","39.72%","$39.99","75% ($9.99)","71% (74%)"
"1028","Snowman","287,000","299,000","12,000","4.18%","$0.99","51% ($0.49)","49% (N/A)"
"1029","The Silent Age","270,000","299,000","29,000","10.74%","$9.99","90% ($0.99)","93% (N/A)"
"1030","SweatShop","199,000","299,000","100,000","50.25%","$0.99","51% ($0.49)","33% (N/A)"
"1031","Star Drifter","282,000","299,000","17,000","6.03%","$0.99","51% ($0.49)","42% (N/A)"
"1032","Stonehearth","223,000","299,000","76,000","34.08%","$19.99","0% ($19.99)","77% (N/A)"
"1033","QUAKE II Mission Pack: Ground Zero","37,000","298,000","261,000","705.41%","$2.99","40% ($1.79)","60% (N/A)"
"1034","Chroma Squad","251,000","298,000","47,000","18.73%","$14.99","50% ($7.49)","95% (75%)"
"1035","Nyctophobia","273,000","298,000","25,000","9.16%","$1.99","0% ($1.99)","40% (N/A)"
"1036","State of Anarchy","264,000","297,000","33,000","12.5%","$0.99","51% ($0.49)","84% (N/A)"
"1037","Worms Blast","125,000","297,000","172,000","137.6%","$7.99","80% ($1.59)","55% (73%)"
"1038","VITATIO 2","201,000","297,000","96,000","47.76%","$0.99","51% ($0.49)","58% (N/A)"
"1039","Abyss Odyssey","293,000","297,000","4,000","1.37%","$14.99","80% ($2.99)","69% (69%)"
"1040","Broken Dreams","285,000","297,000","12,000","4.21%","$1.99","75% ($0.49)","66% (N/A)"
"1041","STAR WARS X-Wing vs TIE Fighter - Balance of Power Campaigns","279,000","296,000","17,000","6.09%","$9.99","65% ($3.49)","75% (N/A)"
"1042","Puzzle Galaxies","101,000","296,000","195,000","193.07%","$0.99","51% ($0.49)","18% (N/A)"
"1043","LYNE","277,000","295,000","18,000","6.5%","$2.99","70% ($0.89)","96% (N/A)"
"1044","Star Fields","263,000","295,000","32,000","12.17%","$0.99","51% ($0.49)","61% (N/A)"
"1045","Home","292,000","295,000","3,000","1.03%","$2.99","66% ($1.01)","70% (69%)"
"1046","Platypus II","283,000","294,000","11,000","3.89%","$6.99","90% ($0.69)","65% (N/A)"
"1047","Dark Elf","160,000","294,000","134,000","83.75%","$3.99","70% ($1.19)","90% (N/A)"
"1048","Oh...Sir!! The Insult Simulator","235,000","293,000","58,000","24.68%","$1.99","70% ($0.59)","91% (64%)"
"1049","Tom Clancy's Ghost Recon: Future Soldier","285,000","293,000","8,000","2.81%","$19.99","66% ($6.79)","65% (71%)"
"1050","Super Killer Hornet: Resurrection","272,000","293,000","21,000","7.72%","$4.99","85% ($0.74)","67% (N/A)"
"1051","Into the Breach","191,000","292,000","101,000","52.88%","$14.99","33% ($10.04)","92% (90%)"
"1052","Final Quest II","254,000","292,000","38,000","14.96%","$0.99","51% ($0.49)","40% (N/A)"
"1053","Uriel's Chasm","273,000","292,000","19,000","6.96%","$4.99","85% ($0.74)","35% (N/A)"
"1054","The Typing of The Dead: Overkill","282,000","292,000","10,000","3.55%","$19.99","0% ($19.99)","86% (N/A)"
"1055","Snapshot","245,000","292,000","47,000","19.18%","$9.99","40% ($5.99)","73% (74%)"
"1056","God Mode","282,000","292,000","10,000","3.55%","$9.99","80% ($1.99)","70% (58%)"
"1057","Earth 2140","261,000","290,000","29,000","11.11%","$4.99","80% ($0.99)","53% (N/A)"
"1058","Vanguard Princess","275,000","290,000","15,000","5.45%","$4.99","70% ($1.49)","73% (N/A)"
"1059","HITMAN 2","0","289,000","289,000","0%","$59.99","0% ($59.99)","92% (N/A)"
"1060","Magazime Editor","255,000","289,000","34,000","13.33%","$0.99","51% ($0.49)","35% (N/A)"
"1061","Retention","286,000","289,000","3,000","1.05%","$0.99","51% ($0.49)","42% (N/A)"
"1062","JumpBall","215,000","288,000","73,000","33.95%","$1.99","75% ($0.49)","43% (N/A)"
"1063","Orbital Gear","285,000","288,000","3,000","1.05%","$9.99","90% ($0.99)","83% (59%)"
"1064","Else Heart.Break()","262,000","288,000","26,000","9.92%","$24.99","75% ($6.24)","83% (79%)"
"1065","Legendary","275,000","287,000","12,000","4.36%","$1.99","83% ($0.5)","53% (50%)"
"1066","Might & Magic: Clash of Heroes","261,000","287,000","26,000","9.96%","$9.99","75% ($2.49)","89% (76%)"
"1067","Football Manager 2019","0","287,000","287,000","0%","$49.99","10% ($44.99)","78% (86%)"
"1068","Nuclear Contingency","273,000","287,000","14,000","5.13%","$0.99","51% ($0.49)","50% (N/A)"
"1069","Agent Awesome","209,000","286,000","77,000","36.84%","$1.99","50% ($0.99)","70% (N/A)"
"1070","The I of the Dragon","277,000","285,000","8,000","2.89%","$6.99","87% ($0.9)","67% (N/A)"
"1071","NORTH","201,000","285,000","84,000","41.79%","$1.99","65% ($0.69)","62% (N/A)"
"1072","Magic 2015 - Duels of the Planeswalkers","280,000","284,000","4,000","1.43%","$9.99","0% ($9.99)","44% (60%)"
"1073","State of Anarchy: Master of Mayhem","70,000","284,000","214,000","305.71%","$1.99","75% ($0.49)","84% (N/A)"
"1074","Motorsport Manager","244,000","284,000","40,000","16.39%","$34.99","75% ($8.74)","89% (81%)"
"1075","Gunscape","234,000","283,000","49,000","20.94%","$19.99","0% ($19.99)","69% (N/A)"
"1076","Lovely Planet","244,000","283,000","39,000","15.98%","$5.99","50% ($2.99)","94% (61%)"
"1077","Steel Invaders","277,000","283,000","6,000","2.17%","$0.99","51% ($0.49)","82% (N/A)"
"1078","Hatoful Boyfriend","273,000","283,000","10,000","3.66%","$9.99","75% ($2.49)","94% (68%)"
"1079","Velvet Assassin","262,000","283,000","21,000","8.02%","$1.99","85% ($0.5)","58% (61%)"
"1080","Bus Driver","273,000","283,000","10,000","3.66%","$7.99","90% ($0.79)","72% (61%)"
"1081","The Legend of Heroes: Trails in the Sky","235,000","283,000","48,000","20.43%","$19.99","50% ($9.99)","91% (85%)"
"1082","NEKOPARA Vol. 3","257,000","282,000","25,000","9.73%","$9.99","35% ($6.49)","97% (N/A)"
"1083","Omerta - City of Gangsters","275,000","282,000","7,000","2.55%","$14.99","80% ($2.99)","61% (N/A)"
"1084","NBA 2K19","0","282,000","282,000","0%","$59.99","50% ($29.99)","27% (76%)"
"1085","Spakoyno: Back to the USSR 2.0","262,000","282,000","20,000","7.63%","$7.99","90% ($0.79)","40% (N/A)"
"1086","Volgarr the Viking","267,000","281,000","14,000","5.24%","$9.99","80% ($1.99)","84% (76%)"
"1087","The Lost Valley","269,000","281,000","12,000","4.46%","$4.99","70% ($1.49)","39% (N/A)"
"1088","Trouble In The Manor","234,000","281,000","47,000","20.09%","$0.99","51% ($0.49)","60% (N/A)"
"1089","Tom Clancy's Splinter Cell","256,000","280,000","24,000","9.38%","$9.99","66% ($3.39)","85% (91%)"
"1090","Sakura Swim Club","209,000","280,000","71,000","33.97%","$9.99","65% ($3.49)","86% (N/A)"
"1091","Outrage","204,000","280,000","76,000","37.25%","$3.99","87% ($0.51)","57% (N/A)"
"1092","Montaro","245,000","280,000","35,000","14.29%","$0.99","30% ($0.69)","95% (N/A)"
"1093","City of Chains","210,000","279,000","69,000","32.86%","$8.99","90% ($0.89)","77% (N/A)"
