"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)"
"50","Crusader Kings II","Feb 14, 2012","$39.99","76% (90%/82%)","2,000,000 .. 5,000,000","2.91%","11:03 (03:55)"
"51","Human: Fall Flat","Jul 22, 2016","$14.99","76% (90%/70%)","1,000,000 .. 2,000,000","7.74%","03:30 (01:12)"
"52","7 Days to Die","Dec 13, 2013","$24.99","48% (79%)","2,000,000 .. 5,000,000","7.87%","10:22 (03:19)"
"53","The Forest","Apr 30, 2018","$19.99","83% (92%/83%)","2,000,000 .. 5,000,000","7.32%","04:13 (01:59)"
"54","Assassin's Creed Odyssey","Oct 5, 2018","$59.99","62% (85%)","1,000,000 .. 2,000,000","39.91%","12:05 (06:23)"
"55","Counter-Strike: Source","Nov 1, 2004","$9.99","92% (95%/88%)","10,000,000 .. 20,000,000","3.56%","12:01 (00:59)"
"56","RimWorld","Oct 17, 2018","$34.99","97% (97%/93%)","1,000,000 .. 2,000,000","13.93%","12:17 (05:49)"
"57","Slay the Spire","Nov 14, 2017","$15.99","95% (96%)","1,000,000 .. 2,000,000","21.5%","05:32 (02:57)"
"58","Heroes & Generals","Oct 18, 2016","Free","25% (66%)","10,000,000 .. 20,000,000","1.58%","06:43 (00:46)"
"59","The Elder Scrolls V: Skyrim","Nov 10, 2011","$19.99","87% (93%/94%)","10,000,000 .. 20,000,000","4.36%","08:56 (01:40)"
"60","H1Z1","Feb 28, 2018","Free","14% (55%/70%)","10,000,000 .. 20,000,000","1.61%","08:47 (00:29)"
"61","Divinity: Original Sin 2 - Definitive Edition","Sep 14, 2017","$44.99","90% (94%/93%)","2,000,000 .. 5,000,000","11.26%","10:18 (05:49)"
"62","Sid Meier’s Civilization VI","Oct 20, 2016","$59.99","28% (68%/88%)","2,000,000 .. 5,000,000","11.1%","09:34 (04:42)"
"63","The Elder Scrolls Online","May 22, 2017","$9.99","42% (76%)","1,000,000 .. 2,000,000","7.51%","14:11 (03:19)"
"64","Black Desert Online","May 24, 2017","$9.99","24% (65%/73%)","1,000,000 .. 2,000,000","6.54%","37:47 (02:37)"
"65","NBA 2K19","Sep 10, 2018","$59.99","2% (27%/76%)","200,000 .. 500,000","58.85%","20:24 (10:32)"
"66","Warhammer: Vermintide 2","Mar 8, 2018","$29.99","38% (74%/82%)","2,000,000 .. 5,000,000","9.25%","11:25 (04:01)"
"67","Just Cause 3","Nov 30, 2015","$29.99","35% (72%/74%)","2,000,000 .. 5,000,000","7.59%","03:51 (01:37)"
"68","Stardew Valley","Feb 26, 2016","$14.99","97% (97%/89%)","2,000,000 .. 5,000,000","6.05%","07:46 (02:10)"
"69","World of Tanks Blitz","Nov 9, 2016","Free","32% (70%)","2,000,000 .. 5,000,000","4.89%","13:45 (03:15)"
"70","Insurgency","Jan 22, 2014","$9.99","76% (90%/74%)","2,000,000 .. 5,000,000","2.87%","03:18 (00:47)"
"71","Sins of a Solar Empire: Rebellion","Jun 12, 2012","$39.99","83% (92%/82%)","1,000,000 .. 2,000,000","4.59%","05:45 (04:47)"
"72","HITMAN 2","Nov 13, 2018","$59.99","83% (92%)","200,000 .. 500,000","8.33%","04:31 (00:53)"
"73","Easy eSports","Sep 10, 2015","Free","28% (68%)","500,000 .. 1,000,000","5.85%","05:19 (01:35)"
"74","VRChat","Feb 1, 2017","Free","70% (88%)","2,000,000 .. 5,000,000","3.42%","07:29 (01:12)"
"75","HITMAN","Mar 11, 2016","Free","44% (77%)","1,000,000 .. 2,000,000","3.3%","06:15 (01:58)"
"76","Far Cry 5","Mar 26, 2018","$59.99","28% (68%)","500,000 .. 1,000,000","11.63%","08:29 (02:15)"
"77","Tom Clancy’s The Division","Mar 7, 2016","$49.99","27% (67%)","2,000,000 .. 5,000,000","6.9%","07:25 (02:18)"
"78","Crossout","Jul 26, 2017","Free","25% (66%)","2,000,000 .. 5,000,000","3.71%","12:25 (01:07)"
"79","No Man's Sky","Aug 12, 2016","$29.99","10% (49%/61%)","1,000,000 .. 2,000,000","7.6%","08:22 (01:35)"
"80","Fallout: New Vegas","Oct 19, 2010","$9.99","92% (95%/84%)","2,000,000 .. 5,000,000","4.17%","07:45 (02:01)"
"81","METAL GEAR SOLID V: THE PHANTOM PAIN","Sep 1, 2015","$19.99","70% (88%/91%)","1,000,000 .. 2,000,000","6.29%","06:41 (03:18)"
"82","Trove","Jul 9, 2015","Free","44% (77%)","5,000,000 .. 10,000,000","1.77%","06:52 (00:53)"
"83","Total War: WARHAMMER II","Sep 28, 2017","$59.99","68% (87%/87%)","1,000,000 .. 2,000,000","21.73%","12:32 (04:54)"
"84","Age of Empires II HD","Apr 9, 2013","$19.99","90% (94%/68%)","5,000,000 .. 10,000,000","6.02%","04:03 (02:09)"
"85","Just Cause 4","Dec 4, 2018","$59.99","4% (34%/72%)","50,000 .. 100,000","83.72%","11:05 (09:37)"
"86","Tabletop Simulator","Jun 5, 2015","$19.99","87% (93%)","1,000,000 .. 2,000,000","7.33%","03:54 (01:43)"
"87","Battlerite","Nov 8, 2017","Free","60% (84%/85%)","2,000,000 .. 5,000,000","2.27%","03:30 (00:50)"
"88","Realm Royale","Jun 5, 2018","Free","21% (62%)","2,000,000 .. 5,000,000","2.1%","04:24 (01:24)"
"89","Tom Clancy's Ghost Recon Wildlands","Mar 6, 2017","$17.49","38% (74%)","1,000,000 .. 2,000,000","11.26%","03:17 (01:38)"
"90","Middle-earth: Shadow of War","Oct 9, 2017","$49.99","44% (77%)","1,000,000 .. 2,000,000","8.83%","09:23 (06:21)"
"91","SCP: Secret Laboratory","Dec 29, 2017","Free","57% (83%)","2,000,000 .. 5,000,000","6.93%","04:49 (01:23)"
"92","Factorio","Feb 25, 2016","$30","99% (98%)","1,000,000 .. 2,000,000","9.64%","13:28 (05:13)"
"93","Fallout Shelter","Mar 29, 2017","Free","62% (85%/63%)","2,000,000 .. 5,000,000","1.88%","05:54 (00:42)"
"94","Portal 2","Apr 18, 2011","$9.99","99% (98%/95%)","10,000,000 .. 20,000,000","2.53%","05:50 (01:25)"
"95","Robocraft","Aug 24, 2017","Free","35% (72%)","10,000,000 .. 20,000,000","0.94%","06:30 (00:56)"
"96","Insurgency: Sandstorm","Dec 12, 2018","$26.99","65% (86%)","100,000 .. 200,000","43.92%","04:09 (02:03)"
"97","Elite Dangerous","Apr 2, 2015","$7.19","28% (68%/80%)","1,000,000 .. 2,000,000","7.41%","12:58 (03:01)"
"98","Half-Life 2","Nov 16, 2004","$9.99","95% (96%/96%)","5,000,000 .. 10,000,000","1.13%","11:28 (01:13)"
"99","Counter-Strike: Condition Zero","Mar 1, 2004","$9.99","70% (88%/65%)","10,000,000 .. 20,000,000","0.92%","13:02 (00:22)"
"100","Starbound","Jul 22, 2016","$14.99","80% (91%/81%)","2,000,000 .. 5,000,000","3.06%","06:02 (02:32)"
