"","Game","Rank of Playtime","Rank of Sales","Rank of CurrentPlayers","Release Date","Owners Level","Owners Before","Owners After","Sales","Price","Increase(Percentage)","Max Discount(Percentage of Original)","Lowest Price","Current Players","Peak Today","Score Rank(Percentage)","User Score","Meta Score","Average of Playtime","Median of Playtime","Actural Players(Percentage)","Release Year","Release Month","Release Day"
"31","RimWorld",56,202,37,2018-10-17,"1,000,000 .. 2,000,000",806000,1430000,624000,34.99,77.42,0,29.99,10637,13160,97,93,50,"12:17 ","05:49",13.93,2018,10,17
"32","Rust",10,21,11,2018-02-08,"5,000,000 .. 10,000,000",6190000,6828000,638000,34.99,10.31,75,8.74,40685,66317,80,69,83,"24:30 ","09:18",11.82,2018,2,8
"33","Sins of a Solar Empire: Rebellion",71,222,54,2012-06-12,"1,000,000 .. 2,000,000",949000,1328000,379000,39.99,39.94,75,9.99,7900,8015,92,82,95,"05:45 ","04:47",4.59,2012,6,12
"34","Slay the Spire",57,248,52,2017-11-14,"1,000,000 .. 2,000,000",731000,1181000,450000,15.99,61.56,37,10.07,7958,9518,96,97,NA,"05:32 ","02:57",21.5,2017,11,14
"35","Stardew Valley",68,54,30,2016-02-26,"2,000,000 .. 5,000,000",3345000,3850000,505000,14.99,15.1,20,11.99,11693,12451,97,89,46,"07:46 ","02:10",6.05,2016,2,26
"36","Stellaris",32,148,17,2016-05-09,"1,000,000 .. 2,000,000",1429000,1788000,359000,39.99,25.12,60,15.99,22503,34950,78,78,97,"11:32 ","07:34",20.65,2016,5,9
"37","Terraria",25,11,21,2011-05-16,"5,000,000 .. 10,000,000",9137000,9568000,431000,9.99,4.72,50,4.99,18033,24033,97,83,97,"08:28 ","01:59",6.95,2011,5,16
"38","The Binding of Isaac: Rebirth",47,134,84,2014-11-04,"1,000,000 .. 2,000,000",1882000,1991000,109000,14.99,5.79,50,7.49,4530,7746,97,42,NA,"04:59 ","01:47",14.91,2014,11,4
"39","The Elder Scrolls Online",63,171,35,2017-05-22,"1,000,000 .. 2,000,000",1475000,1629000,154000,19.99,10.44,50,9.99,11105,18184,76,55,NA,"14:11 ","03:19",7.51,2017,5,22
"40","The Elder Scrolls V: Skyrim Special Edition",49,18,33,2016-10-27,"5,000,000 .. 10,000,000",7180000,7196000,16000,39.99,0.22,50,19.99,11258,16616,82,74,83,"10:53 ","01:37",5.42,2016,10,27
"41","The Forest",53,50,59,2018-04-30,"2,000,000 .. 5,000,000",3708000,4122000,414000,19.99,11.17,33,13.39,7150,13541,92,83,97,"04:13 ","01:59",7.32,2018,4,30
"42","The Witcher 3: Wild Hunt",29,35,38,2015-05-18,"5,000,000 .. 10,000,000",4095000,5133000,1038000,39.99,25.35,50,19.99,10520,17773,97,93,68,"08:17 ","02:09",7.39,2015,5,18
"43","Total War: WARHAMMER II",83,207,25,2017-09-28,"1,000,000 .. 2,000,000",1289000,1409000,120000,59.99,9.31,50,29.99,14278,22424,87,87,95,"12:32 ","04:54",21.73,2017,9,28
"44","Wallpaper Engine",14,34,41,2018-11-16,"5,000,000 .. 10,000,000",4423000,5140000,717000,3.99,16.21,0,3.99,10279,12593,96,30,NA,"02:10 ","00:11",29.16,2018,11,16
