"","Rank of Sales","Game","Owners Before","Owners After","Sales","Price","Increase(Percentage)","Max Discount(Percentage of Original)","Lowest Price"
"683",683,"Rock of Ages",460000,470000,10000,9.99,2.17,80,1.99
"684",684,"Strike Suit Zero",388000,470000,82000,19.99,21.13,80,3.99
"685",685,"Alien Breed 2: Assault",417000,470000,53000,9.99,12.71,85,1.49
"686",686,"The Basement Collection",378000,469000,91000,3.99,24.07,87,0.51
"687",687,"UnEpic",458000,469000,11000,12.99,2.4,70,3.89
"688",688,"Braveland",63000,468000,405000,4.99,642.86,70,1.49
"689",689,"Yellow: The Yellow Artifact",357000,467000,110000,0.99,30.81,51,0.49
"690",690,"100% Orange Juice",418000,466000,48000,6.99,11.48,75,1.74
"691",691,"Primal Carnage",420000,466000,46000,7.99,10.95,80,1.59
"692",692,"Street Racing Syndicate",420000,465000,45000,2.99,10.71,70,0.89
"693",693,"The Note",146000,464000,318000,5.99,217.81,70,1.79
"694",694,"Cities XL Platinum",457000,464000,7000,9.99,1.53,75,2.49
"695",695,"Q.U.B.E: Director's Cut",416000,464000,48000,9.99,11.54,75,2.49
"696",696,"Day of the Tentacle Remastered",442000,463000,21000,14.99,4.75,70,4.49
"697",697,"Kane and Lynch: Dead Men",422000,463000,41000,6.99,9.72,86,0.97
"698",698,"Memoria",388000,462000,74000,39.99,19.07,90,1.99
"699",699,"Jagged Alliance 2 - Wildfire",333000,461000,128000,6.99,38.44,80,1.39
"700",700,"Her Story",441000,461000,20000,5.99,4.54,60,2.39
"701",701,"LOST PLANET 3",399000,460000,61000,24.99,15.29,80,4.99
"702",702,"Catch a Falling Star",439000,460000,21000,0.99,4.78,51,0.49
"703",703,"Stellar 2D",418000,459000,41000,0.99,9.81,51,0.49
"704",704,"War for the Overworld",309000,458000,149000,29.99,48.22,80,6
"705",705,"Chaos on Deponia",432000,458000,26000,19.99,6.02,90,1.99
"706",706,"Hacker Evolution",436000,458000,22000,4.99,5.05,80,0.99
"707",707,"Unreal Tournament 2004: Editor's Choice Edition",448000,457000,9000,14.99,2.01,66,5.09
"708",708,"Talisman: Digital Edition",415000,456000,41000,6.99,9.88,70,2.39
"709",709,"Dead6hot",360000,456000,96000,0.99,26.67,51,0.49
"710",710,"Risen 3 - Titan Lords",429000,455000,26000,14.99,6.06,75,3.74
"711",711,"Edna & Harvey: Harvey's New Eyes",365000,454000,89000,39.99,24.38,90,1.99
"712",712,"Worms Crazy Golf",445000,450000,5000,9.99,1.12,80,1.99
"713",713,"McPixel",445000,450000,5000,4.99,1.12,80,0.99
"714",714,"QUAKE",438000,449000,11000,4.99,2.51,75,1.24
"715",715,"Golf It!",381000,448000,67000,8.99,17.59,45,4.94
"716",716,"A Virus Named TOM",361000,447000,86000,9.99,23.82,75,2.49
"717",717,"Pony Island",414000,446000,32000,4.99,7.73,67,1.64
"718",718,"Morphopolis",442000,446000,4000,3.99,0.9,80,0.79
"719",719,"Loot Hero DX",222000,446000,224000,2.99,100.9,80,0.59
"720",720,"Dark and Light",325000,445000,120000,29.99,36.92,50,14.99
"721",721,"Skyborn",427000,445000,18000,14.99,4.22,75,3.74
"722",722,"Invasion",322000,445000,123000,1.99,38.2,75,0.49
"723",723,"Assassin’s Creed Rogue",333000,443000,110000,19.99,33.03,60,7.99
"724",724,"Game of Thrones",415000,441000,26000,14.99,6.27,50,7.49
"725",725,"Galactic Civilizations I: Ultimate Edition",3e+05,440000,140000,9.99,46.67,80,1.99
"726",726,"ELEX",344000,439000,95000,49.99,27.62,60,19.99
"727",727,"My Time At Portia",231000,439000,208000,19.99,90.04,20,15.99
"728",728,"Dead Rising 2: Off the Record",413000,439000,26000,19.99,6.3,70,5.99
"729",729,"Sakura Spirit",399000,438000,39000,9.99,9.77,75,2.49
"730",730,"Shadow Warrior 2",379000,437000,58000,39.99,15.3,75,9.99
"731",731,"STAR WARS Galactic Battlegrounds Saga",395000,437000,42000,5.99,10.63,66,2.03
"732",732,"Bridge Constructor",405000,436000,31000,9.99,7.65,75,2.49
"733",733,"Atom Zombie Smasher",362000,436000,74000,9.99,20.44,66,3.39
"734",734,"Beyond Divinity",225000,436000,211000,5.99,93.78,90,0.59
"735",735,"Ampersand",429000,435000,6000,0.99,1.4,51,0.49
"736",736,"HunieCam Studio",379000,435000,56000,6.99,14.78,75,1.74
"737",737,"Heroes of Might & Magic V",398000,435000,37000,9.99,9.3,75,2.49
"738",738,"Nosferatu: The Wrath of Malachi",421000,434000,13000,2.99,3.09,70,0.89
"739",739,"Goodbye Deponia",346000,434000,88000,19.99,25.43,90,1.99
"740",740,"The Howler",385000,434000,49000,1.99,12.73,0,1.99
"741",741,"Owlboy",418000,433000,15000,24.99,3.59,50,12.49
"742",742,"Devil May Cry 4 Special Edition",342000,432000,90000,24.99,26.32,60,9.99
"743",743,"Clergy Splode",390000,432000,42000,0.99,10.77,51,0.49
"744",744,"Evoland",427000,430000,3000,9.99,0.7,75,2.49
"745",745,"Guacamelee! Super Turbo Championship Edition",417000,429000,12000,14.99,2.88,85,2.25
"746",746,"Street Fighter V",358000,428000,70000,19.99,19.55,60,7.99
"747",747,"Five Nights at Freddy's 3",4e+05,428000,28000,7.99,7,75,1.99
"748",748,"Alien Breed: Impact",423000,428000,5000,9.99,1.18,85,1.49
"749",749,"LEGO Harry Potter: Years 1-4",366000,427000,61000,19.99,16.67,75,4.99
"750",750,"Little Nightmares",292000,427000,135000,19.99,46.23,70,5.99
"751",751,"King's Bounty: Armored Princess",417000,427000,10000,9.99,2.4,80,1.99
"752",752,"Car Mechanic Simulator 2018",298000,425000,127000,19.99,42.62,45,10.99
"753",753,"Craft The World",376000,424000,48000,18.99,12.77,75,4.74
"754",754,"Calcu-Late",363000,424000,61000,0.99,16.8,51,0.49
"755",755,"DRAGON BALL XENOVERSE 2",370000,423000,53000,49.99,14.32,75,12.49
"756",756,"Drayt Empire",283000,421000,138000,0.99,48.76,51,0.49
"757",757,"LEGO Batman3: Beyond Gotham",392000,421000,29000,19.99,7.4,75,4.99
"758",758,"Star Saviors",370000,421000,51000,1.99,13.78,50,0.99
"759",759,"Tyranny",325000,420000,95000,29.99,29.23,66,14.99
"760",760,"Magicite",393000,420000,27000,9.99,6.87,50,4.99
"761",761,"One Piece Pirate Warriors 3",398000,419000,21000,39.99,5.28,75,9.99
"762",762,"DETOUR",409000,418000,9000,1.99,2.2,0,1.99
"763",763,"Grow Home",408000,417000,9000,7.99,2.21,75,1.99
"764",764,"The Incredible Adventures of Van Helsing II",394000,416000,22000,14.99,5.58,75,3.74
"765",765,"Neon Hardcorps",387000,415000,28000,0.99,7.24,51,0.49
"766",766,"Worms Pinball",395000,415000,20000,7.99,5.06,80,1.59
"767",767,"Half Minute Hero: Super Mega Neo Climax Ultimate Boy",412000,414000,2000,9.99,0.49,75,2.49
"768",768,"Tales of Berseria",304000,413000,109000,49.99,35.86,75,12.49
"769",769,"Clustertruck",289000,413000,124000,14.99,42.91,55,6.74
"770",770,"F1 2012",332000,412000,80000,19.99,24.1,75,4.99
"771",771,"FINAL FANTASY XIII-2",388000,411000,23000,19.99,5.93,50,9.99
"772",772,"Memories of a Vagabond",344000,411000,67000,4.99,19.48,70,1.49
"773",773,"Purgatory",353000,410000,57000,0.99,16.15,51,0.49
"774",774,"Organ Trail: Director's Cut",404000,410000,6000,4.99,1.49,50,2.49
"775",775,"The Whispered World Special Edition",384000,410000,26000,39.99,6.77,90,1.99
"776",776,"Quake III Arena",392000,409000,17000,14.99,4.34,50,7.49
"777",777,"Outlast 2",307000,409000,102000,29.99,33.22,75,7.49
"778",778,"Reigns",406000,409000,3000,2.99,0.74,50,1.49
"779",779,"Beat Saber",175000,409000,234000,19.99,133.71,0,19.99
"780",780,"Solar 2",366000,408000,42000,9.99,11.48,80,1.99
"781",781,"QUAKE III: Team Arena",332000,408000,76000,14.99,22.89,50,7.49
"782",782,"From Dust",371000,407000,36000,14.99,9.7,75,3.74
"783",783,"Tinboy",402000,406000,4000,1.99,1,51,0.49
"784",784,"Castlevania: Lords of Shadow – Ultimate Edition",383000,406000,23000,29.99,6.01,80,5.99
"785",785,"Stacking",401000,406000,5000,9.99,1.25,85,1.49
"786",786,"Journey To The Center Of The Earth",323000,405000,82000,0.99,25.39,51,0.49
"787",787,"Deep Rock Galactic",179000,404000,225000,24.99,125.7,30,17.49
"788",788,"Oddworld: Abe's Exoddus",317000,404000,87000,2.99,27.44,75,0.74
"789",789,"Osiris: New Dawn",337000,404000,67000,24.99,19.88,50,12.49
"790",790,"Manhunt",267000,403000,136000,9.99,50.94,65,3.49
"791",791,"Gothic 1",387000,403000,16000,19.99,4.13,80,3.99
"792",792,"Cosmic Dust & Rust",211000,403000,192000,0.99,91,51,0.49
"793",793,"Penumbra: Black Plague Gold Edition",390000,402000,12000,9.99,3.08,85,1.49
"794",794,"Atonement: Scourge of Time",354000,402000,48000,8.99,13.56,90,0.89
"795",795,"DYNASTY WARRIORS 9 真・三國無双８",169000,402000,233000,59.99,137.87,40,35.99
"796",796,"Windward",381000,401000,20000,9.99,5.25,65,3.49
"797",797,"Bejeweled 3",326000,4e+05,74000,4.99,22.7,75,1.24
"798",798,"Oxenfree",357000,4e+05,43000,19.99,12.04,75,4.99
"799",799,"Mountain",379000,4e+05,21000,0.99,5.54,51,0.49
"800",800,"Life is Feudal: Your Own",371000,399000,28000,19.99,7.55,60,7.99
"801",801,"Eaten Alive",320000,397000,77000,0.99,24.06,51,0.49
"802",802,"Despair",348000,397000,49000,0.99,14.08,51,0.49
"803",803,"Five Nights at Freddy's: Sister Location",374000,397000,23000,7.99,6.15,75,1.99
"804",804,"Nuclear Dawn",385000,396000,11000,9.99,2.86,85,1.49
"805",805,"World War 3",0,396000,396000,28,0,10,25.2
"806",806,"Nioh: Complete Edition / 仁王 Complete Edition",311000,395000,84000,49.99,27.01,50,24.99
"807",807,"Closure",321000,395000,74000,9.99,23.05,90,0.99
"808",808,"ArcaniA",385000,395000,10000,19.99,2.6,80,4.99
"809",809,"The Beginner's Guide",361000,395000,34000,9.99,9.42,75,2.49
"810",810,"Ticket to Ride",359000,395000,36000,9.99,10.03,60,3.99
"811",811,"One Way Heroics",341000,395000,54000,3.49,15.84,50,1.74
"812",812,"Bionic Commando: Rearmed",382000,394000,12000,9.99,3.14,80,1.99
"813",813,"New kind of adventure",390000,392000,2000,0.99,0.51,51,0.49
"814",814,"Crazy Taxi",338000,392000,54000,7.99,15.98,85,1.19
"815",815,"Five Nights at Freddy's 4",185000,391000,206000,7.99,111.35,75,1.99
"816",816,"DLC Quest",381000,389000,8000,2.99,2.1,50,1.49
"817",817,"Hyperdimension Neptunia Re;Birth1 / 超次次元ゲイム ネプテューヌRe;Birth1 / 超次次元遊戲戰機少女重生1",329000,389000,60000,24.99,18.24,85,4.49
"818",818,"Vertiginous Golf",381000,389000,8000,9.99,2.1,90,0.99
"819",819,"Sniper Elite: Nazi Zombie Army 2",299000,388000,89000,14.99,29.77,75,3.74
"820",820,"Star Chronicles: Delta Quadrant",382000,388000,6000,0.99,1.57,51,0.49
"821",821,"Squishy the Suicidal Pig",327000,387000,60000,5.99,18.35,0,1.99
"822",822,"X3: Reunion",368000,387000,19000,9.99,5.16,66,3.39
"823",823,"Slender: The Arrival",381000,386000,5000,9.99,1.31,85,1.49
"824",824,"Universe Sandbox ²",321000,386000,65000,24.99,20.25,40,14.99
"825",825,"Condemned: Criminal Origins",227000,385000,158000,14.95,69.6,75,3.73
"826",826,"Tesla Effect: A Tex Murphy Adventure",366000,385000,19000,19.99,5.19,80,3.99
"827",827,"The Crew",364000,385000,21000,29.99,5.77,75,7.49
"828",828,"EDGE",336000,384000,48000,6.99,14.29,90,0.69
"829",829,"King's Bounty: Crossworlds",264000,382000,118000,14.99,44.7,75,3.74
"830",830,"Greyfox RPG",325000,382000,57000,1.99,17.54,83,0.49
"831",831,"Canyon Capers",366000,382000,16000,6.99,4.37,90,0.69
"832",832,"Party Hard",367000,382000,15000,12.89,4.09,75,3.22
"833",833,"Men of War",365000,382000,17000,4.99,4.66,75,1.24
"834",834,"The Night of the Rabbit",368000,381000,13000,39.99,3.53,90,1.99
"835",835,"Legend of Mysteria RPG",308000,381000,73000,1.99,23.7,84,0.49
"836",836,"Crystals of Time",371000,380000,9000,1.99,2.43,50,0.99
"837",837,"Pixel Puzzles: Japan",336000,380000,44000,6.99,13.1,85,1.04
"838",838,"Need for Speed Undercover",354000,380000,26000,9.99,7.34,75,2.49
"839",839,"Hero Quest: Tower Conflict",351000,380000,29000,0.99,8.26,51,0.49
"840",840,"The Room",319000,380000,61000,4.99,19.12,75,1.24
"841",841,"Make it indie!",342000,380000,38000,0.99,11.11,51,0.49
"842",842,"FINAL FANTASY IX",344000,379000,35000,20.99,10.17,40,12.59
"843",843,"Samorost 2",324000,379000,55000,4.99,16.98,70,1.49
"844",844,"Street Warriors Online",368000,377000,9000,1.99,2.45,0,1.99
"845",845,"Dead Island Definitive Edition",304000,377000,73000,19.99,24.01,75,4.99
"846",846,"Fallen Enchantress: Legendary Heroes",308000,375000,67000,24.99,21.75,60,9.99
"847",847,"Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad",362000,375000,13000,0.99,3.59,30,0.69
"848",848,"RADical ROACH Remastered",364000,374000,10000,2.99,2.75,75,0.74
"849",849,"The Incredible Adventures of Van Helsing: Final Cut",297000,374000,77000,44.99,25.93,75,11.24
"850",850,"Shadow Warrior Classic Redux",324000,374000,50000,9.99,15.43,75,2.49
"851",851,"Momodora: Reverie Under The Moonlight",354000,373000,19000,9.99,5.37,80,2
"852",852,"Construction Simulator 2015",356000,371000,15000,14.99,4.21,60,5.99
"853",853,"Wolfenstein 3D",298000,371000,73000,4.99,24.5,75,1.24
"854",854,"Legacy of Kain: Soul Reaver",344000,371000,27000,6.99,7.85,86,0.97
"855",855,"SAMOLIOTIK",239000,371000,132000,0.99,55.23,45,0.54
"856",856,"ibb & obb",349000,370000,21000,11.99,6.02,70,3.59
"857",857,"Human Resource Machine",291000,370000,79000,9.99,27.15,50,4.99
"858",858,"Aquaria",347000,369000,22000,9.99,6.34,75,2.49
"859",859,"Battlestations: Midway",311000,368000,57000,6.99,18.33,86,0.97
"860",860,"POSTAL",337000,368000,31000,1.99,9.2,75,0.49
"861",861,"Tom Clancy's Splinter Cell Chaos Theory",352000,367000,15000,9.99,4.26,66,3.39
"862",862,"Unforgiving Trials: The Darkest Crusade",272000,367000,95000,0.99,34.93,51,0.49
"863",863,"R.A.W. Realms of Ancient War",307000,367000,60000,14.99,19.54,85,2.24
"864",864,"LUFTRAUSERS",359000,366000,7000,9.99,1.95,75,2.49
"865",865,"Unforgiving Trials: The Space Crusade",295000,366000,71000,0.99,24.07,51,0.49
"866",866,"Sakura Angels",236000,366000,130000,9.99,55.08,70,2.99
"867",867,"Tower Wars",337000,366000,29000,7.99,8.61,0,7.99
"868",868,"Super Space Pug",267000,365000,98000,0.99,36.7,51,0.49
"869",869,"DRAGON BALL FighterZ",227000,363000,136000,59.99,59.91,60,23.99
"870",870,"LEGO Jurassic World",268000,363000,95000,19.99,35.45,75,4.99
"871",871,"The Dark Eye: Chains of Satinav",295000,363000,68000,19.99,23.05,90,1.99
"872",872,"Long Live The Queen",226000,362000,136000,9.99,60.18,60,3.99
"873",873,"Resident Evil 0 / biohazard 0 HD REMASTER",334000,362000,28000,19.99,8.38,60,7.99
"874",874,"A New Beginning - Final Cut",342000,362000,20000,9.99,5.85,90,0.99
"875",875,"Halo: Spartan Assault",354000,361000,7000,2.99,1.98,60,1.19
"876",876,"Chaos Domain",356000,361000,5000,9.99,1.4,90,0.99
"877",877,"Bit Blaster XL",319000,360000,41000,0.99,12.85,51,0.49
"878",878,"Crawl",288000,360000,72000,14.99,25,50,7.49
"879",879,"Transport Fever",267000,359000,92000,34.99,34.46,60,13.99
"880",880,"Intrusion 2",352000,359000,7000,9.99,1.99,80,1.99
"881",881,"Minecraft: Story Mode - A Telltale Games Series",293000,358000,65000,24.99,22.18,70,7.49
"882",882,"Anomaly 2",246000,358000,112000,14.99,45.53,85,2.24
"883",883,"Caster",354000,358000,4000,1.99,1.13,0,1.99
"884",884,"IL-2 Sturmovik: 1946",321000,358000,37000,9.99,11.53,75,2.49
"885",885,"Realms of the Haunting",327000,357000,30000,2.99,9.17,70,0.89
"886",886,"Data Hacker: Reboot",270000,357000,87000,4.99,32.22,90,0.49
"887",887,"Legend of Grimrock 2",308000,356000,48000,23.99,15.58,60,9.59
"888",888,"VA-11 Hall-A: Cyberpunk Bartender Action",279000,356000,77000,14.99,27.6,34,9.89
"889",889,"Batman - The Telltale Series",310000,355000,45000,14.99,14.52,60,9.99
"890",890,"State of Decay: YOSE",323000,354000,31000,29.99,9.6,75,7.49
"891",891,"Project Starship",292000,354000,62000,0.99,21.23,51,0.49
"892",892,"Mercenary Kings: Reloaded Edition",351000,353000,2000,19.99,0.57,50,9.99
"893",893,"Bacteria",226000,353000,127000,0.99,56.19,51,0.49
"894",894,"Turbo Dismount",340000,353000,13000,9.99,3.82,70,2.99
"895",895,"RUNNING WITH RIFLES",258000,353000,95000,14.99,36.82,70,4.49
"896",896,"Sleeping Valley",290000,352000,62000,10.99,21.38,87,0.64
"897",897,"Minimalism",179000,351000,172000,0.99,96.09,51,0.49
"898",898,"LEGO Harry Potter: Years 5-7",235000,351000,116000,19.99,49.36,75,4.99
"899",899,"The LEGO Movie - Videogame",345000,350000,5000,19.99,1.45,75,4.99
"900",900,"Vessel",341000,350000,9000,19.99,2.64,75,4.99
"901",901,"Command & Conquer 4: Tiberian Twilight",338000,350000,12000,19.99,3.55,75,4.99
"902",902,"Sherlock Holmes: The Devil's Daughter",274000,350000,76000,49.99,27.74,75,12.49
"903",903,"Energy Balance",277000,348000,71000,2.99,25.63,70,0.89
"904",904,"Timberman",335000,347000,12000,0.99,3.58,51,0.49
"905",905,"BATTALION 1944",314000,347000,33000,14.99,10.51,0,14.99
"906",906,"Lone Leader",248000,346000,98000,0.99,39.52,51,0.49
"907",907,"Kingdom Rush",340000,344000,4000,9.99,1.18,50,4.99
"908",908,"SteamWorld Heist",280000,344000,64000,14.99,22.86,67,4.94
"909",909,"Planetbase",282000,343000,61000,19.99,21.63,30,13.99
"910",910,"CONSORTIUM",334000,343000,9000,9.99,2.69,50,4.99
"911",911,"Grand Pigeon's Duty",205000,342000,137000,3.99,66.83,80,0.79
"912",912,"Screencheat",289000,342000,53000,14.99,18.34,66,5.09
"913",913,"Genital Jousting",267000,342000,75000,6.99,28.09,69,2.16
"914",914,"Final Quest",292000,341000,49000,0.99,16.78,51,0.49
"915",915,"RWBY: Grimm Eclipse",263000,341000,78000,19.99,29.66,75,4.99
"916",916,"Sacred 3",315000,341000,26000,14.99,8.25,75,3.74
"917",917,"LEGO STAR WARS: The Force Awakens",233000,338000,105000,29.99,45.06,75,7.49
"918",918,"Papo & Yo",298000,338000,40000,14.99,13.42,50,7.49
"919",919,"Guardians of Victoria",248000,338000,90000,1.99,36.29,75,0.49
"920",920,"Oil Rush",336000,338000,2000,7.99,0.6,0,7.99
"921",921,"Spikit",286000,338000,52000,0.99,18.18,51,0.49
"922",922,"Proteus",263000,337000,74000,9.99,28.14,50,4.99
"923",923,"Aragami",287000,336000,49000,19.99,17.07,60,7.99
"924",924,"Hacker Evolution: Untold",272000,335000,63000,4.99,23.16,80,0.99
"925",925,"Escape This",320000,335000,15000,0.99,4.69,37,0.62
"926",926,"Domina",228000,335000,107000,9.99,46.93,69,3.09
"927",927,"What Remains of Edith Finch",230000,334000,104000,19.99,45.22,50,9.99
"928",928,"$1 Ride",316000,334000,18000,0.98,5.7,50,0.49
"929",929,"Battlefleet Gothic: Armada",277000,333000,56000,29.99,20.22,75,7.49
"930",930,"There's Poop In My Soup",284000,333000,49000,0.99,17.25,51,0.49
"931",931,"Material Girl",265000,333000,68000,1.99,25.66,70,0.59
"932",932,"FlatOut: Ultimate Carnage",331000,333000,2000,19.99,0.6,80,3.99
"933",933,"Deep Space Dash",302000,332000,30000,0.99,9.93,51,0.49
"934",934,"King Arthur's Gold",328000,332000,4000,9.99,1.22,75,2.49
"935",935,"Oddworld: New 'n' Tasty",316000,332000,16000,19.99,5.06,75,4.99
"936",936,"LIGHTNING RETURNS: FINAL FANTASY XIII",321000,331000,10000,19.99,3.12,50,9.99
"937",937,"Grey Goo",326000,331000,5000,29.99,1.53,75,7.49
"938",938,"Sniper Ghost Warrior 3",226000,331000,105000,19.99,46.46,55,12.79
"939",939,"South Park: The Fractured But Whole",276000,330000,54000,59.99,19.57,75,14.99
"940",940,"Ionball 2: Ionstorm",315000,330000,15000,4.99,4.76,90,0.49
"941",941,"Gish",314000,329000,15000,9.99,4.78,0,9.99
"942",942,"The Turing Test",285000,328000,43000,19.99,15.09,80,3.99
"943",943,"For The King",248000,328000,80000,19.99,32.26,50,9.99
"944",944,"A grande bagunça espacial - The big space mess",285000,327000,42000,0.99,14.74,51,0.49
"945",945,"My Summer Car",317000,327000,10000,14.99,3.15,0,14.99
"946",946,"Infested Planet",255000,327000,72000,14.99,28.24,75,3.74
"947",947,"The Guild II - Pirates of the European Seas",262000,326000,64000,9.99,24.43,75,2.49
"948",948,"QUAKE Mission Pack 1: Scourge of Armagon",72000,326000,254000,2.99,352.78,40,1.79
"949",949,"Mother Russia Bleeds",220000,325000,105000,14.99,47.73,75,3.74
"950",950,"From the Depths",224000,325000,101000,14.99,45.09,80,3.99
"951",951,"TIS-100",285000,325000,40000,6.99,14.04,75,1.74
"952",952,"Dream Daddy: A Dad Dating Simulator",285000,324000,39000,14.99,13.68,50,7.49
"953",953,"BitRay",234000,324000,90000,0.99,38.46,51,0.49
"954",954,"Overhell",296000,323000,27000,1.99,9.12,75,0.49
"955",955,"Detention",231000,323000,92000,11.99,39.83,60,4.79
"956",956,"The Banner Saga 2",241000,323000,82000,24.99,34.02,66,6.79
"957",957,"Turbo Pug 3D",306000,323000,17000,1.99,5.56,50,0.99
"958",958,"Dragon Cliff",81000,322000,241000,9.99,297.53,40,5.99
"959",959,"DEEP SPACE WAIFU",246000,321000,75000,1.99,30.49,40,1.19
"960",960,"Hydrophobia: Prophecy",315000,321000,6000,4.99,1.9,0,4.99
"961",961,"Alien Breed 3: Descent",311000,321000,10000,9.99,3.22,85,1.49
"962",962,"LISA",293000,319000,26000,9.99,8.87,50,4.99
"963",963,"Bridge Constructor Portal",112000,319000,207000,9.99,184.82,50,4.99
"964",964,"Arma Tactics",214000,319000,105000,8.99,49.07,80,1.79
"965",965,"Germ Wars",287000,319000,32000,0.99,11.15,51,0.49
"966",966,"Hostile Waters: Antaeus Rising",227000,319000,92000,2.99,40.53,70,0.89
"967",967,"Zeno Clash 2",306000,318000,12000,14.99,3.92,80,2.99
"968",968,"Gods Will Be Watching",302000,318000,16000,9.99,5.3,75,2.49
"969",969,"Battlestations Pacific",294000,317000,23000,8.99,7.82,89,0.98
"970",970,"gravilon",312000,316000,4000,2.99,1.28,0,2.99
"971",971,"Unknown Battle",299000,315000,16000,3.99,5.35,87,0.51
"972",972,"It's Spring Again",255000,315000,60000,0.99,23.53,51,0.49
"973",973,"Medieval Engineers",295000,315000,20000,19.99,6.78,60,7.99
"974",974,"Sword Art Online: Fatal Bullet",142000,315000,173000,49.99,121.83,60,19.99
"975",975,"DYNASTY WARRIORS 8: Xtreme Legends Complete Edition / 真・三國無双７ with 猛将伝",284000,315000,31000,49.99,10.92,70,14.99
"976",976,"Under Zero",290000,315000,25000,3.99,8.62,87,0.51
"977",977,"Melissa K. and the Heart of Gold Collector's Edition",245000,314000,69000,9.99,28.16,90,0.99
"978",978,"Hyper color ball",284000,314000,30000,0.99,10.56,51,0.49
"979",979,"Ampu-Tea",252000,314000,62000,4.99,24.6,85,0.74
"980",980,"NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution",303000,314000,11000,29.99,3.63,75,7.49
"981",981,"QUAKE II Mission Pack: The Reckoning",57000,314000,257000,2.99,450.88,40,1.79
"982",982,"Nation Red",296000,313000,17000,1.99,5.74,66,0.67
"983",983,"Command & Conquer 3: Kane's Wrath",3e+05,313000,13000,19.99,4.33,75,4.99
"984",984,"FEMINAZI: The Triggering",242000,313000,71000,0.99,29.34,51,0.49
"985",985,"Interstellar Marines",238000,313000,75000,9.99,31.51,50,4.99
"986",986,"LARA CROFT AND THE TEMPLE OF OSIRIS",283000,313000,30000,19.99,10.6,85,2.99
"987",987,"Streets of Rogue",255000,313000,58000,14.99,22.75,40,8.99
"988",988,"The 39 Steps",301000,312000,11000,14.99,3.65,90,1.49
"989",989,"The Jackbox Party Pack 3",254000,312000,58000,24.99,22.83,50,12.49
"990",990,"Penny Arcade's On the Rain-Slick Precipice of Darkness 3",254000,312000,58000,1.99,22.83,70,0.59
"991",991,"A Bird Story",303000,312000,9000,3.99,2.97,75,0.99
"992",992,"Warriors of Vilvatikta",302000,312000,10000,0.99,3.31,51,0.49
"993",993,"Legacy of Kain: Soul Reaver 2",303000,311000,8000,6.99,2.64,86,0.97
"994",994,"The Testament of Sherlock Holmes",291000,311000,20000,19.99,6.87,75,4.99
"995",995,"Forts",258000,311000,53000,14.99,20.54,40,8.99
"996",996,"EeOneGuy Adventure",270000,310000,40000,0.99,14.81,51,0.49
"997",997,"Just Hero",240000,310000,70000,0.99,29.17,51,0.49
"998",998,"Commando Jack",255000,310000,55000,7.99,21.57,75,1.99
"999",999,"Flix and Chill",190000,309000,119000,0.99,62.63,51,0.49
"1000",1000,"Tooth and Tail",149000,309000,160000,19.99,107.38,75,4.99
"1001",1001,"PAC-MAN Championship Edition DX+",283000,309000,26000,9.99,9.19,75,3.74
"1002",1002,"Millennium - A New Hope",214000,309000,95000,5.99,44.39,90,0.59
"1003",1003,"Betrayer",153000,308000,155000,4.99,101.31,80,0.99
"1004",1004,"Space Pilgrim Episode I: Alpha Centauri",263000,308000,45000,1.99,17.11,75,0.49
"1005",1005,"SkyTime",233000,307000,74000,0.99,31.76,51,0.49
"1006",1006,"Sheltered",238000,306000,68000,14.99,28.57,75,3.74
"1007",1007,"Epistory - Typing Chronicles",291000,306000,15000,14.99,5.15,67,4.94
"1008",1008,"Alpha Prime",3e+05,306000,6000,4.99,2,80,0.99
"1009",1009,"A Hat in Time",164000,306000,142000,29.99,86.59,42,17.39
"1010",1010,"Legacy of Kain: Defiance",261000,305000,44000,6.99,16.86,86,0.97
"1011",1011,"Energy Cycle",256000,304000,48000,2.99,18.75,65,1.04
"1012",1012,"Bloons TD 5",262000,304000,42000,9.99,16.03,50,4.99
"1013",1013,"Broken Sword: Director's Cut",295000,304000,9000,5.99,3.05,60,2.39
"1014",1014,"Wurm Unlimited",229000,304000,75000,29.99,32.75,70,8.99
"1015",1015,"Jazzpunk: Director's Cut",295000,303000,8000,14.99,2.71,80,2.99
"1016",1016,"Divinity: Dragon Commander",219000,303000,84000,39.99,38.36,90,3.99
"1017",1017,"Devil Daggers",288000,302000,14000,4.99,4.86,60,1.99
"1018",1018,"STAR WARS - X-Wing Alliance",271000,302000,31000,9.99,11.44,65,3.49
"1019",1019,"Red Lake",284000,302000,18000,0.99,6.34,51,0.49
"1020",1020,"SpellForce 2: Faith in Destiny",238000,301000,63000,14.99,26.47,80,2.99
"1021",1021,"Labyronia RPG 2",271000,3e+05,29000,1.99,10.7,83,0.49
"1022",1022,"Project Highrise",277000,3e+05,23000,19.99,8.3,75,4.99
"1023",1023,"Kentucky Route Zero",295000,3e+05,5000,24.99,1.69,70,7.49
"1024",1024,"Rise of the Ancients",246000,3e+05,54000,0.99,21.95,51,0.49
"1025",1025,"Tales of Symphonia",276000,299000,23000,19.99,8.33,75,4.99
"1026",1026,"Sparkle 2 Evo",287000,299000,12000,4.99,4.18,90,0.49
